Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Pantoprazole,OTC,Tablet,75 mg,Intas,Clot prevention,Antiplatelet
Valsartan 1000,OTC,Cream,100 mg,Lupin,Immunity booster,Supplement
Losartan 50,Prescription,Drops,75 mg,Intas,Inflammation,Antiplatelet
Doxycycline 400 Plus,Prescription,Capsule,400 mg,Alembic,Edema,Antihistamine
Simvastatin 125 XR,OTC,Cream,125 mg,Alkem,Hypertension,Antiprotozoal
Clarithromycin 1000 XR,Prescription,Ointment,1000 IU,Aurobindo,Anxiety,Anticoagulant
Rabeprazole 1000,OTC,Capsule,375 mg,Alkem,Diabetes,Antiprotozoal
Amlodipine 1000,Prescription,Capsule,375 mg,Alkem,Bacterial infection,Antidiabetic
Zincovit 37,OTC,Tablet,650 mg,Glenmark,Hypertension,Antidepressant
Rabeprazole 750 Plus,Prescription,Cream,750 mg,Cipla,Diabetes,Antibiotic
Rosuvastatin 450 SR,OTC,Injection,450 mg,Mankind,Pain relief,Antacid
Clopidogrel,OTC,Syrup,600 IU,Aurobindo,Throat infection,Anticoagulant
Amikacin SR,OTC,Injection,0.50%,Cipla,Allergy,Anxiolytic
Simvastatin DS,OTC,Syrup,2000 IU,Dr. Reddy's,Diabetes,Supplement
Enalapril 600,Prescription,Syrup,600 IU,Alembic,Immunity booster,Antihypertensive
Ibuprofen Forte,Prescription,Syrup,325 mg,Novartis,Skin infection,Antidepressant
Rabeprazole 50 1000,Prescription,Capsule,50 mg,Intas,Depression,Analgesic
Amlodipine 400 50,OTC,Injection,400 mg,Intas,Heartburn,Antacid
Amoxicillin 250 250,OTC,Drops,250 mg,Glenmark,Cold & Cough,Antihistamine
Ofloxacin 375 XR,Prescription,Syrup,375 mg,Sanofi,Anxiety,Antiplatelet
Omeprazole Forte,OTC,Cream,500 mg,Intas,Anxiety,Supplement
Fluoxetine 250,Prescription,Injection,250 mg,Bayer,Edema,Antidepressant
Ciprofloxacin 1000,Prescription,Cream,200 mg,Cipla Ltd,Vitamin deficiency,Antibiotic
Metoprolol Forte,OTC,Tablet,300 mg,Sun Pharma,Immunity booster,Antidiabetic
Montelukast XR,Prescription,Injection,250 mg,Sanofi,Immunity booster,Antihyperlipidemic
Cefixime,OTC,Capsule,400 IU,Novartis,Edema,Analgesic
Fluoxetine 400 Forte,Prescription,Drops,400 IU,Novartis,Blood pressure,Anticoagulant
Doxycycline 500,Prescription,Capsule,650 mg,Merck,Edema,Antacid
Erythromycin Forte,Prescription,Drops,1000 IU,Abbott,Depression,Antidiabetic
Metformin 400 Plus,OTC,Capsule,400 mg,Mankind,Immunity booster,Supplement
Diclofenac 100 SR,Prescription,Cream,100 mg,Bayer,Throat infection,Analgesic
Ciprofloxacin 250,Prescription,Injection,50 mg,Cipla,Respiratory infection,Antacid
Erythromycin 2000 250,OTC,Injection,2000 IU,Abbott,Depression,Supplement
Aspirin,Prescription,Capsule,500 mg,Cipla Ltd,Blood pressure,Analgesic
Valsartan 50 250,Prescription,Capsule,50 mg,Bayer,Allergy,Analgesic
Zincovit 750 250,Prescription,Syrup,750 mg,Pfizer,Depression,Diuretic
Atorvastatin 500,Prescription,Capsule,75 mg,Lupin,Pain relief,Corticosteroid
Ibuprofen Forte 66,OTC,Capsule,50 mg,Merck,Diabetes,Anticoagulant
Rosuvastatin Forte,OTC,Cream,325 mg,Cipla Ltd,Diabetes,Corticosteroid
Metoprolol 0.5% SR,Prescription,Cream,0.50%,Sanofi,Skin infection,Anxiolytic
Ranitidine 300 XR,Prescription,Ointment,300 mg,Cipla Ltd,Diabetes,Corticosteroid
Rabeprazole 1000 50,Prescription,Tablet,1000 IU,Novartis,Vitamin deficiency,Analgesic
Ramipril 400 250,Prescription,Drops,400 IU,Bayer,Hypertension,Supplement
Levocetirizine 1000 72,Prescription,Injection,1%,Pfizer,Inflammation,Antacid
Doxycycline 400 Forte,Prescription,Capsule,400 IU,Bayer,Inflammation,Anticoagulant
Ofloxacin 250,OTC,Injection,1000 mg,Torrent,Respiratory infection,Corticosteroid
Zincovit 325 DS,OTC,Tablet,325 mg,Abbott,Throat infection,Antidiabetic
Fluoxetine 1000 Forte,OTC,Tablet,1000 mg,Alembic,Immunity booster,Supplement
Diclofenac 450 Forte,Prescription,Injection,450 mg,Aurobindo,Vitamin deficiency,Antihistamine
Diclofenac 325 500,OTC,Syrup,325 mg,Zydus,Blood pressure,Corticosteroid
Diclofenac 1000 SR,Prescription,Tablet,1000 mg,Torrent,Anxiety,Antihypertensive
Clopidogrel 150 SR,OTC,Cream,150 mg,Alembic,Hypertension,Antidepressant
Enalapril 50 500,Prescription,Injection,50 mg,Bayer,Vitamin deficiency,Antihyperlipidemic
Pantoprazole 1000,OTC,Injection,1000 mg,Merck,Infection,Anticoagulant
Salbutamol 375,OTC,Tablet,375 mg,Aurobindo,Throat infection,Anticoagulant
Hydralazine 500 50,Prescription,Syrup,500 mg,Intas,Throat infection,Antacid
Diazepam 50,OTC,Drops,125 mg,Torrent,Depression,Antidepressant
Atorvastatin 100 SR,Prescription,Injection,100 mg,Cipla Ltd,Clot prevention,Antacid
Amoxicillin Forte,Prescription,Tablet,375 mg,Abbott,Depression,Corticosteroid
Levosalbutamol 250 50,OTC,Drops,250 mg,Mankind,Depression,Diuretic
Pantoprazole 375 XR,Prescription,Injection,375 mg,Zydus,Edema,Anxiolytic
Combiflam 2% 250 90,Prescription,Tablet,2%,Cipla Ltd,Pain relief,Antiprotozoal
Vitamin C 50 DS,OTC,Ointment,50 mg,Alkem,Inflammation,Analgesic
Erythromycin SR,OTC,Cream,750 mg,Pfizer,Clot prevention,Antibiotic
Furosemide DS,OTC,Syrup,400 mg,Pfizer,Clot prevention,Antacid
Ofloxacin 60000 250,OTC,Syrup,60000 IU,Alkem,Vitamin deficiency,Antibiotic
Rabeprazole 250,Prescription,Injection,400 IU,Sun Pharma,Heartburn,Antiplatelet
Clopidogrel 50,OTC,Syrup,750 mg,Aurobindo,Hypertension,Antiprotozoal
Calpol 2000 500,OTC,Drops,2000 IU,Dr. Reddy's,Anxiety,Antiplatelet
Paracetamol 1000,OTC,Injection,300 mg,Zydus,Hypertension,Antidiabetic
Simvastatin 325 Plus,Prescription,Injection,325 mg,Abbott,Edema,Antiplatelet
Pantoprazole 250,Prescription,Ointment,150 mg,Pfizer,Vitamin deficiency,Antiprotozoal
Levosalbutamol 50 1000,Prescription,Ointment,50 mg,Intas,Inflammation,Antidepressant
Aspirin 1000 SR,Prescription,Injection,1000 mg,Glenmark,Heartburn,Anxiolytic
Crocin 650 50,Prescription,Drops,650 mg,Sanofi,Skin infection,Antidepressant
Levosalbutamol 75 SR,Prescription,Ointment,75 mg,Zydus,Edema,Antibiotic
Insulin 150 500,OTC,Tablet,150 mg,Merck,Depression,Antihistamine
Montelukast 250,Prescription,Syrup,400 mg,Merck,Blood pressure,Analgesic
Montelukast XR 107,OTC,Injection,375 mg,Zydus,Diabetes,Antidiabetic
Cetirizine 400 Plus,OTC,Syrup,400 IU,GlaxoSmithKline,Respiratory infection,Supplement
Pantoprazole 200 Forte,OTC,Cream,200 mg,Sanofi,Cold & Cough,Antidepressant
Crocin 600 500,Prescription,Injection,600 IU,Alkem,Fever,Antiprotozoal
Propranolol 60000 500,Prescription,Syrup,60000 IU,Intas,Anxiety,Antidepressant
Pantoprazole 250 112,OTC,Injection,750 mg,Merck,Diabetes,Antihypertensive
Metronidazole 50,Prescription,Tablet,375 mg,Sanofi,Depression,Analgesic
Diazepam,Prescription,Ointment,2000 IU,Abbott,Cold & Cough,Corticosteroid
Clarithromycin Forte,OTC,Drops,325 mg,Zydus,Pain relief,Antacid
Levosalbutamol 500,OTC,Syrup,450 mg,Glenmark,Throat infection,Antihyperlipidemic
Ranitidine 1000 SR,Prescription,Ointment,1000 IU,Dr. Reddy's,Depression,Antiprotozoal
Metoprolol 500,Prescription,Ointment,1%,Zydus,Edema,Antibiotic
Pantoprazole Forte,Prescription,Tablet,2000 IU,Sanofi,Fever,Antacid
Sertraline 325 XR,Prescription,Tablet,325 mg,Abbott,Clot prevention,Analgesic
Montelukast 1000,Prescription,Drops,300 mg,Alembic,Throat infection,Antibiotic
Omeprazole,OTC,Tablet,1%,Abbott,Blood pressure,Antihyperlipidemic
Metronidazole 650 500,OTC,Injection,650 mg,Zydus,Clot prevention,Anticoagulant
Hydrocortisone 450 Plus,Prescription,Capsule,450 mg,GlaxoSmithKline,Diabetes,Antidepressant
Clopidogrel 1000 1000,Prescription,Capsule,1000 IU,Zydus,Edema,Antibiotic
Ofloxacin 50 Forte,Prescription,Capsule,50 mg,Mankind,Inflammation,Antihypertensive
Metformin 1000,OTC,Syrup,250 mg,Mankind,Cold & Cough,Analgesic
Becosules 2% SR,OTC,Tablet,2%,Cipla,Hypertension,Analgesic
Clarithromycin 50 Forte,OTC,Capsule,50 mg,Pfizer,Bacterial infection,Antibiotic
Amikacin 450 XR,OTC,Injection,450 mg,Novartis,Immunity booster,Anticoagulant
Amoxicillin 50 1000,Prescription,Ointment,50 mg,Sanofi,Throat infection,Antidepressant
Amlodipine 750 500,OTC,Syrup,750 mg,Cipla Ltd,Hypertension,Antibiotic
Omeprazole 400 Plus,Prescription,Injection,400 mg,Novartis,Cold & Cough,Supplement
Amlodipine XR,OTC,Injection,60000 IU,Bayer,Immunity booster,Supplement
Levofloxacin 125 500,Prescription,Drops,125 mg,Alkem,Respiratory infection,Antihyperlipidemic
Naproxen 100 500,OTC,Drops,100 mg,GlaxoSmithKline,Hypertension,Antiplatelet
Azithromycin 2% 50,OTC,Injection,2%,GlaxoSmithKline,Throat infection,Diuretic
Valsartan 2%,OTC,Cream,2%,Novartis,Heartburn,Antihyperlipidemic
Ofloxacin 125 500,Prescription,Tablet,125 mg,Alkem,Inflammation,Antihypertensive
Propranolol 250,OTC,Cream,60000 IU,Alkem,Fever,Antihyperlipidemic
Becosules 1% Plus,OTC,Cream,1%,Sanofi,Infection,Antihyperlipidemic
Amikacin 250,Prescription,Syrup,250 mg,Dr. Reddy's,Respiratory infection,Antacid
Loratadine DS,OTC,Capsule,100 mg,Cipla Ltd,Pain relief,Antidepressant
Atorvastatin 650 Plus,Prescription,Injection,650 mg,Alkem,Heartburn,Corticosteroid
Warfarin 125 XR,Prescription,Cream,125 mg,Alembic,Pain relief,Antihypertensive
Prednisolone 250 50,OTC,Ointment,250 mg,Mankind,Depression,Antacid
Doxycycline 650 XR,Prescription,Cream,650 mg,Abbott,Bacterial infection,Antiplatelet
Bisoprolol 75 DS,Prescription,Tablet,75 mg,Glenmark,Inflammation,Supplement
Diazepam 650 250,Prescription,Tablet,650 mg,Glenmark,Allergy,Corticosteroid
Rosuvastatin 450 50,OTC,Capsule,450 mg,Pfizer,Inflammation,Supplement
Insulin XR,OTC,Syrup,375 mg,Dr. Reddy's,Infection,Antiplatelet
Salbutamol XR,Prescription,Syrup,250 mg,Mankind,Immunity booster,Antibiotic
Pantoprazole Plus,OTC,Capsule,150 mg,Merck,Edema,Corticosteroid
Diazepam 50 154,Prescription,Capsule,400 mg,Bayer,Infection,Antidiabetic
Vitamin D3 60000 Plus,OTC,Syrup,60000 IU,Bayer,Edema,Analgesic
Azithromycin DS,OTC,Cream,400 IU,Cipla Ltd,Bacterial infection,Supplement
B Complex 75 50,OTC,Syrup,75 mg,Cipla Ltd,Clot prevention,Antiplatelet
Pantoprazole 158,OTC,Cream,400 mg,Dr. Reddy's,Pain relief,Antihypertensive
Cefuroxime 2% 500,OTC,Syrup,2%,GlaxoSmithKline,Anxiety,Supplement
Hydrocortisone DS,Prescription,Tablet,75 mg,Glenmark,Diabetes,Antiplatelet
Naproxen 150 250,OTC,Syrup,150 mg,Alembic,Skin infection,Antihyperlipidemic
Hydralazine XR,Prescription,Ointment,500 mg,Mankind,Bacterial infection,Antibiotic
Cefixime 50 250,OTC,Capsule,50 mg,Glenmark,Clot prevention,Antihypertensive
Dolo SR,OTC,Cream,375 mg,Aurobindo,Bacterial infection,Analgesic
Ofloxacin 60000 DS,Prescription,Capsule,60000 IU,Dr. Reddy's,Allergy,Diuretic
Diclofenac 50,OTC,Injection,600 IU,GlaxoSmithKline,Immunity booster,Antidiabetic
Montelukast 750 Plus,OTC,Syrup,750 mg,Merck,Heartburn,Antihistamine
Naproxen 50,Prescription,Cream,1%,Novartis,Throat infection,Antihyperlipidemic
Metoprolol Forte 169,OTC,Drops,600 IU,Merck,Respiratory infection,Antiplatelet
Simvastatin 125 XR 170,OTC,Syrup,125 mg,Bayer,Bacterial infection,Antihyperlipidemic
Bisoprolol 250,Prescription,Tablet,300 mg,Pfizer,Pain relief,Supplement
Warfarin 100 DS,OTC,Syrup,100 mg,Zydus,Vitamin deficiency,Corticosteroid
Pantoprazole SR,OTC,Ointment,1000 mg,Merck,Edema,Anticoagulant
Paracetamol XR,Prescription,Tablet,250 mg,Alembic,Immunity booster,Antacid
Losartan 750,Prescription,Cream,750 mg,Aurobindo,Fever,Antidepressant
Warfarin 150 50,OTC,Cream,150 mg,GlaxoSmithKline,Immunity booster,Anticoagulant
Hydrocortisone 100 SR,Prescription,Tablet,100 mg,Novartis,Blood pressure,Antiplatelet
Levosalbutamol 1000,OTC,Drops,500 mg,Sanofi,Respiratory infection,Antacid
Amikacin 100,OTC,Ointment,100 mg,Intas,Vitamin deficiency,Antihyperlipidemic
Amoxicillin DS,Prescription,Drops,200 mg,Merck,Allergy,Corticosteroid
Omeprazole 750 XR,OTC,Tablet,750 mg,Torrent,Pain relief,Antihistamine
Simvastatin 1000 Plus,OTC,Syrup,1000 mg,GlaxoSmithKline,Pain relief,Diuretic
Cefixime 450 DS,Prescription,Drops,450 mg,Bayer,Skin infection,Antihistamine
Rabeprazole 1000 SR,Prescription,Ointment,1000 mg,Lupin,Throat infection,Antibiotic
Vitamin C 0.5% 50,Prescription,Tablet,0.50%,Lupin,Vitamin deficiency,Antidepressant
Calpol 650 Plus,Prescription,Syrup,650 mg,Bayer,Pain relief,Anxiolytic
Enalapril 650 DS,OTC,Tablet,650 mg,Sanofi,Respiratory infection,Antiplatelet
Propranolol SR,Prescription,Tablet,0.50%,Mankind,Infection,Antihypertensive
Gentamicin DS,Prescription,Syrup,75 mg,GlaxoSmithKline,Edema,Corticosteroid
Metformin 450 50,Prescription,Capsule,450 mg,Zydus,Fever,Anxiolytic
Levocetirizine 125 500,Prescription,Drops,125 mg,Bayer,Heartburn,Anticoagulant
Calpol 500,Prescription,Capsule,150 mg,Bayer,Infection,Corticosteroid
Naproxen 100 DS,Prescription,Syrup,100 mg,Dr. Reddy's,Allergy,Corticosteroid
Clopidogrel 1000,OTC,Ointment,250 mg,Merck,Fever,Antihistamine
Fluoxetine 50,OTC,Tablet,150 mg,Alembic,Skin infection,Anxiolytic
Loratadine 500,OTC,Capsule,650 mg,Glenmark,Infection,Antidiabetic
B Complex 1000,OTC,Injection,200 mg,Novartis,Pain relief,Diuretic
Losartan 200 1000,OTC,Syrup,200 mg,Novartis,Anxiety,Diuretic
Atorvastatin 325 Plus,Prescription,Cream,325 mg,Aurobindo,Infection,Antiplatelet
Cefixime 150 SR,Prescription,Ointment,150 mg,Intas,Pain relief,Diuretic
Enalapril,Prescription,Cream,325 mg,Cipla,Clot prevention,Antiprotozoal
Salbutamol 375 1000,Prescription,Syrup,375 mg,Bayer,Infection,Anxiolytic
Azithromycin 1000 SR,Prescription,Cream,1000 mg,Mankind,Vitamin deficiency,Diuretic
Cefuroxime DS,OTC,Ointment,450 mg,GlaxoSmithKline,Bacterial infection,Antiplatelet
Amlodipine 125 DS,OTC,Capsule,125 mg,Zydus,Pain relief,Antacid
Rosuvastatin 2000 250,OTC,Ointment,2000 IU,Glenmark,Inflammation,Anxiolytic
Doxycycline Forte,Prescription,Injection,1000 mg,Alembic,Clot prevention,Analgesic
Atorvastatin 300 250,Prescription,Tablet,300 mg,Sun Pharma,Anxiety,Antidiabetic
Hydralazine 500 209,Prescription,Capsule,50 mg,Alkem,Respiratory infection,Corticosteroid
Prednisolone 75 DS,OTC,Syrup,75 mg,Aurobindo,Anxiety,Antibiotic
Metronidazole 1000,OTC,Capsule,325 mg,Zydus,Skin infection,Antihistamine
Levosalbutamol DS,OTC,Cream,450 mg,Novartis,Skin infection,Antiplatelet
Amoxicillin,Prescription,Capsule,400 mg,Cipla Ltd,Bacterial infection,Antihyperlipidemic
Doxycycline 50,Prescription,Cream,500 mg,Glenmark,Bacterial infection,Diuretic
Warfarin 375 1000,OTC,Syrup,375 mg,Glenmark,Diabetes,Supplement
Omnacortil 400 Plus,Prescription,Drops,400 IU,Intas,Inflammation,Antihypertensive
Loratadine 200,Prescription,Capsule,200 mg,Abbott,Pain relief,Anticoagulant
Rosuvastatin 750 XR,OTC,Injection,750 mg,Torrent,Throat infection,Antiplatelet
Gentamicin 50,OTC,Cream,2%,Torrent,Blood pressure,Antihistamine
Ofloxacin 500,Prescription,Cream,400 mg,Glenmark,Blood pressure,Antihistamine
Naproxen Plus,Prescription,Cream,250 mg,Alembic,Immunity booster,Antacid
Gentamicin 1000 Plus,Prescription,Cream,1000 mg,Alkem,Anxiety,Antibiotic
Diazepam 1000,OTC,Syrup,500 mg,Sun Pharma,Anxiety,Anxiolytic
Atorvastatin 2% DS,Prescription,Capsule,2%,Torrent,Blood pressure,Antacid
Simvastatin 150 1000,OTC,Capsule,150 mg,Sun Pharma,Bacterial infection,Antihypertensive
Salbutamol 650 Forte,Prescription,Tablet,650 mg,Mankind,Fever,Antiplatelet
Rabeprazole 1000 SR 227,OTC,Ointment,1000 mg,Alembic,Vitamin deficiency,Antacid
Cefixime 228,OTC,Cream,400 IU,Sun Pharma,Allergy,Supplement
Hydrochlorothiazide SR,Prescription,Ointment,0.50%,Merck,Allergy,Antiprotozoal
Amikacin 400 Plus,OTC,Syrup,400 IU,Alembic,Edema,Antidepressant
Sertraline 1000,Prescription,Syrup,150 mg,Torrent,Diabetes,Antihistamine
Cetirizine 200 500,Prescription,Ointment,200 mg,Alembic,Inflammation,Antidepressant
Erythromycin Forte 233,Prescription,Tablet,500 mg,Sanofi,Diabetes,Antihyperlipidemic
Rabeprazole 300 SR,Prescription,Capsule,300 mg,Bayer,Depression,Antihistamine
Combiflam 50 50,Prescription,Drops,50 mg,Abbott,Pain relief,Antidepressant
Losartan 500,Prescription,Drops,500 mg,Zydus,Anxiety,Antihistamine
Montelukast 150 Forte,Prescription,Drops,150 mg,Cipla Ltd,Respiratory infection,Supplement
Diclofenac 1000,OTC,Ointment,60000 IU,Abbott,Cold & Cough,Diuretic
Levosalbutamol 450 XR,OTC,Tablet,450 mg,Aurobindo,Bacterial infection,Antihypertensive
Diazepam 1000 240,Prescription,Tablet,400 mg,Torrent,Inflammation,Antidiabetic
Atorvastatin 75 1000,Prescription,Injection,75 mg,Intas,Pain relief,Antiplatelet
B Complex 500 Plus,OTC,Drops,500 mg,Torrent,Inflammation,Antibiotic
Amoxicillin 100 250,OTC,Tablet,100 mg,Merck,Pain relief,Antacid
Hydrocortisone 650 SR,Prescription,Injection,650 mg,Sanofi,Skin infection,Antibiotic
Naproxen 450 1000,Prescription,Cream,450 mg,Mankind,Immunity booster,Diuretic
Paracetamol,Prescription,Cream,1%,Sanofi,Immunity booster,Antihypertensive
B Complex DS,OTC,Tablet,250 mg,Pfizer,Cold & Cough,Corticosteroid
Simvastatin 100,OTC,Injection,100 mg,Cipla Ltd,Pain relief,Antihypertensive
Amikacin 300,OTC,Capsule,300 mg,Novartis,Anxiety,Antihypertensive
Metoprolol 400 50,OTC,Drops,400 mg,Novartis,Immunity booster,Supplement
Combiflam Plus,Prescription,Cream,200 mg,Merck,Pain relief,Antihistamine
Rosuvastatin 250,Prescription,Capsule,1000 IU,Alembic,Skin infection,Antihyperlipidemic
Erythromycin 300 1000,OTC,Ointment,300 mg,Bayer,Pain relief,Antiplatelet
Hydrocortisone 150 250,Prescription,Capsule,150 mg,Glenmark,Infection,Antiprotozoal
Vitamin D3 250 DS,Prescription,Drops,250 mg,Cipla Ltd,Cold & Cough,Analgesic
Enalapril 250 XR,Prescription,Syrup,250 mg,Cipla,Heartburn,Antiprotozoal
Ranitidine XR,OTC,Injection,1000 mg,Abbott,Blood pressure,Antihistamine
Gentamicin 450 Plus,Prescription,Cream,450 mg,Merck,Edema,Antibiotic
Propranolol 500,Prescription,Syrup,400 mg,Pfizer,Pain relief,Anticoagulant
Enalapril 50 Forte,Prescription,Syrup,50 mg,Mankind,Heartburn,Antihistamine
Dolo 300 250,Prescription,Syrup,300 mg,Merck,Clot prevention,Antidiabetic
Cetirizine 1000 DS,OTC,Cream,1000 mg,Sun Pharma,Infection,Diuretic
Ofloxacin 650,OTC,Tablet,650 mg,Mankind,Fever,Antihypertensive
Warfarin 500,OTC,Tablet,1000 mg,Aurobindo,Blood pressure,Supplement
Paracetamol 325,Prescription,Tablet,325 mg,Novartis,Throat infection,Corticosteroid
Rosuvastatin 125 SR,OTC,Capsule,125 mg,Cipla Ltd,Bacterial infection,Antacid
Metoprolol 500 DS,Prescription,Injection,500 mg,Intas,Immunity booster,Anxiolytic
Dolo Plus,OTC,Tablet,100 mg,Sanofi,Skin infection,Supplement
Fluoxetine 500,OTC,Injection,50 mg,Pfizer,Vitamin deficiency,Anticoagulant
Rabeprazole 400 XR,Prescription,Syrup,400 IU,Sun Pharma,Infection,Antidepressant
Simvastatin Plus,OTC,Ointment,60000 IU,Glenmark,Fever,Antihypertensive
Omnacortil SR,Prescription,Capsule,500 mg,Intas,Immunity booster,Anticoagulant
Bisoprolol 400 250,OTC,Ointment,400 mg,Lupin,Bacterial infection,Anxiolytic
Rabeprazole 650 DS,OTC,Syrup,650 mg,Cipla Ltd,Cold & Cough,Anticoagulant
Prednisolone DS,Prescription,Injection,325 mg,Abbott,Respiratory infection,Antiplatelet
Rosuvastatin 500 250,Prescription,Ointment,500 mg,Abbott,Infection,Antibiotic
Becosules SR,Prescription,Syrup,150 mg,Zydus,Infection,Analgesic
Rosuvastatin 325 Plus,OTC,Capsule,325 mg,Pfizer,Edema,Antiplatelet
Fluoxetine 50 1000,OTC,Cream,50 mg,Cipla Ltd,Vitamin deficiency,Diuretic
Metronidazole,OTC,Cream,500 mg,Novartis,Allergy,Antidepressant
Metronidazole 375 SR,OTC,Tablet,375 mg,Dr. Reddy's,Throat infection,Antacid
Hydrocortisone 100 Plus,OTC,Drops,100 mg,Merck,Cold & Cough,Anticoagulant
Ranitidine 375 500,Prescription,Syrup,375 mg,Cipla Ltd,Skin infection,Corticosteroid
Enalapril DS,OTC,Syrup,650 mg,Glenmark,Cold & Cough,Anxiolytic
Ranitidine 500,Prescription,Drops,500 mg,Merck,Inflammation,Corticosteroid
Crocin 500 DS,OTC,Cream,500 mg,Aurobindo,Allergy,Antidepressant
Gentamicin 1000,OTC,Injection,750 mg,Alembic,Infection,Diuretic
Ramipril 250,OTC,Syrup,150 mg,Mankind,Throat infection,Corticosteroid
Metronidazole 1000 XR,Prescription,Cream,1000 mg,Sun Pharma,Respiratory infection,Anxiolytic
Telmisartan 100 1000,OTC,Drops,100 mg,GlaxoSmithKline,Allergy,Antidepressant
Montelukast,Prescription,Ointment,500 mg,Pfizer,Diabetes,Analgesic
Amlodipine 300 Plus,Prescription,Injection,300 mg,Intas,Bacterial infection,Antihyperlipidemic
Clarithromycin 375,OTC,Tablet,375 mg,Mankind,Respiratory infection,Antacid
Levofloxacin 60000 500,Prescription,Tablet,60000 IU,Bayer,Edema,Antihistamine
Metformin 125 Plus,Prescription,Drops,125 mg,Zydus,Allergy,Antiprotozoal
Rabeprazole 200 Forte,Prescription,Injection,200 mg,Abbott,Skin infection,Antidepressant
Levocetirizine 650 SR,OTC,Injection,650 mg,Intas,Throat infection,Supplement
Paracetamol 100 Forte,OTC,Syrup,100 mg,Glenmark,Heartburn,Antidiabetic
Losartan 1000 Plus,Prescription,Cream,1000 mg,Sanofi,Cold & Cough,Supplement
Omnacortil XR,Prescription,Cream,750 mg,Intas,Infection,Antidepressant
Omeprazole 375 DS,Prescription,Drops,375 mg,Mankind,Bacterial infection,Supplement
Hydrocortisone 500 50,Prescription,Drops,500 mg,Aurobindo,Allergy,Antiplatelet
Cetirizine 200 500 303,Prescription,Cream,200 mg,Sun Pharma,Respiratory infection,Analgesic
Aspirin SR,Prescription,Injection,500 mg,Merck,Throat infection,Anxiolytic
Bisoprolol 100 500,OTC,Syrup,100 mg,Sun Pharma,Depression,Antihypertensive
Sertraline 750 Plus,Prescription,Cream,750 mg,Novartis,Diabetes,Anticoagulant
Losartan 450 Plus,OTC,Ointment,450 mg,Bayer,Blood pressure,Antihypertensive
Vitamin C 300 XR,OTC,Injection,300 mg,Alkem,Respiratory infection,Diuretic
Metoprolol XR,OTC,Capsule,125 mg,Intas,Respiratory infection,Diuretic
Cefuroxime 50,OTC,Ointment,200 mg,Torrent,Pain relief,Anticoagulant
Clarithromycin 200 1000,Prescription,Syrup,200 mg,Intas,Depression,Diuretic
Warfarin XR,Prescription,Ointment,650 mg,Mankind,Hypertension,Antihypertensive
Pantoprazole 2000 DS,Prescription,Drops,2000 IU,Pfizer,Skin infection,Antidiabetic
